Author, Basename, URL
RealBadAngel, technic_game, https://github.com/minetest-technic/technic_game/
Calinou, carbone-ng, https://github.com/Calinou/carbone-ng/
BlockMen, wasteland, https://github.com/BlockMen/Wasteland/
fishyWET, Lord-of-the-Test, https://github.com/minetest-LOTT/Lord-of-the-Test/
Dan Duncombe, realtest, https://github.com/VanessaE/realtest_game/
Splizard, hungry_games, https://github.com/Splizard/hungry_games/
jojoa1997, overcraft_origins, https://github.com/jojoa1997/overcraft_origins/
BlockMen, minetest_plus, https://github.com/BlockMen/minetest_plus/
Thermal_Shock, decoblocks, http://www.mediafire.com/download/6fj8p2a3kfv4ruf/Decoblocks+R5.zip
Bas080, OCD, https://github.com/bas080/OCD/
HeroOfTheWinds, sky-test, https://github.com/HeroOfTheWinds/Sky-Test-game/
Krock, base_game, https://github.com/SmallJoker/base_game/
Casimir, voxelgarden, https://github.com/CasimirKaPazi/Voxelgarden/
Miner59, test_the_beast, https://github.com/Jeija/minetest-mod-jumping
Jordach, big_freaking_dig, https://github.com/Jordach/big_freaking_dig/
Neuromancer, eden, https://www.dropbox.com/s/6ffixmwwgmybdqp/NeuromancerGame20130925.zip
Wuzzy, tutorial, https://repo.or.cz/w/minetest_tutorial_subgame/
BrandonReese, adventuretest, https://github.com/Bremaweb/adventuretest/
Mito551, dwarves, https://github.com/mito551/dwarves_game/
cornernote, skyblock, https://github.com/cornernote/minetest-skyblock/
nater6927, roman_test, https://dl.dropboxusercontent.com/s/y4xrfjlwj8b20bw/Roman%20Test.zip?dl=1&token_hash=AAFNlOJg3QoOv2n76n_iC_XcMXvQAMFO6aNlixPix2f2Jw&expiry=1399733558
PilzAdam, minimal, https://github.com/PilzAdam/minimal/
PilzAdam, minitest, https://github.com/PilzAdam/MiniTest/
Megaf, rpi, https://github.com/Megaf/RPi/
Dan Duncombe, nostalgia, https://github.com/VanessaE/mt_nostalgia/
qznc, famish, https://github.com/qznc/famish/
Josh, minetest, https://dl.dropbox.com/u/102401091/Cubes%20%5BGame%5D.zip
tonyka, avatar, https://github.com/tony-ka/minetest-Avatar/
jordan4ibanez, techduck, https://dl.dropbox.com/s/0xnj1yajlsqcjmo/tech_n_mine.zip?dl=1
Bas080, simple, https://github.com/bas080/simple/
